TechStack,Link1,Link2
React, https://github.com/anniechakraborty/anniechakraborty.github.io, https://github.com/anniechakraborty/textutils
Angular, https://github.com/anniechakraborty/simpleKanbanBoard, https://github.com/anniechakraborty/frontend-quiz-app
Flask, https://github.com/anniechakraborty/simpleKanbanBackend, https://github.com/anniechakraborty/PersonalWebsiteBackend
MongoDB, https://github.com/anniechakraborty/simpleKanbanBackend, https://github.com/anniechakraborty/BookQuest
Python, https://github.com/anniechakraborty/simpleKanbanBackend, https://github.com/anniechakraborty/BookQuest
GenAI, https://github.com/anniechakraborty/GenAIProjects, https://github.com/anniechakraborty/cold-emails-generator
ReactNative, https://github.com/anniechakraborty/TextHelp, https://github.com/anniechakraborty/my-app
"HTML, CSS, TailwindCSS", https://github.com/anniechakraborty/manage-landing-page, https://github.com/anniechakraborty/social-links-profile-main
Machine Learning, https://github.com/anniechakraborty/ClassificationModels, https://github.com/anniechakraborty/RegressionModels
"XML, Xquery", https://github.com/anniechakraborty/BookQuest, https://github.com/anniechakraborty/BookQuest
